title,card-name,card-count,class,archetype,season,game-mode
Hoej’s Viagame House Cup 2 Face Hunter,Eaglehorn Bow,2,Hunter,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Mirror Entity,1,Mage,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Glaivezooka,1,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Loatheb,1,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Loatheb,1,Mage,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Mad Scientist,2,Hunter,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Abusive Sergeant,2,Hunter,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,1,Hunter,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Spider Tank,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Face Hunter,Freezing Trap,1,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Webspinner,2,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Perdition's Blade,1,Rogue,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Unleash the Hounds,2,Hunter,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Leper Gnome,2,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Haunted Creeper,2,Hunter,Aggro,Season 12,Tournament
Gaara’s KPL W.4 Face Hunter,Explosive Trap,2,Hunter,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Ironbeak Owl,1,Mage,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Leeroy Jenkins,1,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Dr. Boom,1,Mage,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Explosive Trap,2,Hunter,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Coghammer,2,Paladin,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Cold Blood,2,Rogue,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Goblin Blastmage,2,Mage,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Mechwarper,2,Mage,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Mad Scientist,2,Hunter,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Abusive Sergeant,2,Paladin,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Mad Scientist,2,Hunter,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Haunted Creeper,2,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Archmage Antonidas,1,Mage,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Eviscerate,2,Rogue,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Piloted Shredder,1,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Dr. Boom,1,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
